Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
superword,org.apdplat.superword.rule,RootAffixRule,main,Magic Number,The method contains a magic number: 640,77
superword,org.apdplat.superword.rule,RootRule,getAllRoots,Complex Conditional,The conditional expression StringUtils.isNotBlank(line) && !line.startsWith("#") && line.startsWith("词根：") is complex.,45
superword,org.apdplat.superword.rule,RootRule,getAllRoots,Long Statement,The length of the statement "try (BufferedReader bufferedReader=new BufferedReader(new InputStreamReader(PrefixRule.class.getResourceAsStream("/root_affix.txt")))){" is 135.,45
superword,org.apdplat.superword.rule,RootRule,getAllRoots,Magic Number,The method contains a magic number: 3,45
superword,org.apdplat.superword.rule,RootRule,getAllRoots,Magic Number,The method contains a magic number: 2,45
superword,org.apdplat.superword.rule,DynamicPrefixRule,findByPrefix,Magic Number,The method contains a magic number: 2,48
superword,org.apdplat.superword.rule,SimilarityRule,similarity,Long Statement,The length of the statement "List<Score> scores=words.parallelStream().map(word -> targetWordVecotr.score(WordVector.of(word.getWord())`true)).filter(item -> item.getScore() > 5).sorted().collect(Collectors.toList());" is 188.,47
superword,org.apdplat.superword.rule,SimilarityRule,similarity,Long Statement,The length of the statement "scores.forEach(score -> System.out.println("\t" + i.incrementAndGet() + "、"+ score.getWord()+ " "+ score.getScore()+ " "+ score.getExplain()));" is 143.,47
superword,org.apdplat.superword.rule,SimilarityRule,similarity,Magic Number,The method contains a magic number: 5,47
superword,org.apdplat.superword.rule,WordLengthStatistics,toHtmlFragment,Long Statement,The length of the statement "data.get(length).stream().sorted().forEach(word -> html.append("\t").append(i.incrementAndGet()).append("、").append(WordLinker.toLink(word.getWord())).append("</br>\n"));" is 170.,51
superword,org.apdplat.superword.rule,DefinitionSimilarRule,run,Magic Number,The method contains a magic number: 2,59
superword,org.apdplat.superword.rule,DynamicSuffixRule,findBySuffix,Magic Number,The method contains a magic number: 2,49
superword,org.apdplat.superword.rule,CompoundWord,check,Magic Number,The method contains a magic number: 3,65
superword,org.apdplat.superword.rule,CompoundWord,check,Magic Number,The method contains a magic number: 3,65
superword,org.apdplat.superword.rule,CompoundWord,main,Magic Number,The method contains a magic number: 5,80
superword,org.apdplat.superword.tools,FootNSentence,main,Magic Number,The method contains a magic number: 100,34
superword,org.apdplat.superword.tools,PrefixSuffixOptimizer,replace,Long Statement,The length of the statement "newText.append("<strong><a target=\"_blank\" href=\"http://www.iciba.com/").append(item).append("\">").append(item).append("</a></strong>").append("` ");" is 153.,64
