Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
superword,org.apdplat.superword.rule,SuffixRule,findBySuffix,19,5,3,86,0,org.apdplat.superword.model.Suffix,org.apdplat.superword.model.Suffix; org.apdplat.superword.model.Word
superword,org.apdplat.superword.rule,SuffixRule,convert,5,1,1,112,0,org.apdplat.superword.model.Suffix,org.apdplat.superword.model.Suffix
superword,org.apdplat.superword.rule,SuffixRule,main,7,1,1,118,0,org.apdplat.superword.rule.SuffixRule,org.apdplat.superword.rule.SuffixRule; org.apdplat.superword.tools.HtmlFormatter; org.apdplat.superword.tools.WordSources
superword,org.apdplat.superword.rule,RootAffixRule,RootAffixRule,2,1,0,36,0,,
superword,org.apdplat.superword.rule,RootAffixRule,getWord,39,1,2,38,0,org.apdplat.superword.rule.SuffixRule,org.apdplat.superword.rule.SuffixRule; org.apdplat.superword.rule.PrefixRule; org.apdplat.superword.rule.RootRule; org.apdplat.superword.model.Prefix; org.apdplat.superword.model.Suffix
superword,org.apdplat.superword.rule,RootAffixRule,main,8,2,1,77,0,org.apdplat.superword.rule.RootAffixRule,org.apdplat.superword.rule.RootAffixRule; org.apdplat.superword.tools.HtmlFormatter; org.apdplat.superword.tools.WordSources
superword,org.apdplat.superword.rule,RootRule,RootRule,2,1,0,41,0,,
superword,org.apdplat.superword.rule,RootRule,getAllRoots,24,4,0,45,0,,
superword,org.apdplat.superword.rule,RootRule,findByRoot,5,1,2,71,0,,
superword,org.apdplat.superword.rule,RootRule,findByRoot,16,4,2,77,0,org.apdplat.superword.model.Word,org.apdplat.superword.model.Word
superword,org.apdplat.superword.rule,RootRule,main,8,1,1,100,0,org.apdplat.superword.tools.HtmlFormatter,org.apdplat.superword.tools.HtmlFormatter; org.apdplat.superword.rule.RootRule; org.apdplat.superword.tools.WordSources
superword,org.apdplat.superword.rule,DynamicPrefixRule,DynamicPrefixRule,2,1,0,46,0,,
superword,org.apdplat.superword.rule,DynamicPrefixRule,findByPrefix,23,5,2,48,0,org.apdplat.superword.model.Prefix,org.apdplat.superword.model.Prefix; org.apdplat.superword.model.Word
superword,org.apdplat.superword.rule,DynamicPrefixRule,toHtmlFragment,3,1,2,80,0,org.apdplat.superword.rule.DynamicPrefixRule,org.apdplat.superword.rule.DynamicPrefixRule
superword,org.apdplat.superword.rule,DynamicPrefixRule,toHtmlFragment,36,5,3,84,0,org.apdplat.superword.tools.WordLinker,org.apdplat.superword.tools.WordLinker; org.apdplat.superword.model.Prefix; org.apdplat.superword.model.Word
superword,org.apdplat.superword.rule,DynamicPrefixRule,main,8,1,1,130,0,org.apdplat.superword.tools.WordSources,org.apdplat.superword.tools.WordSources; org.apdplat.superword.rule.DynamicPrefixRule
superword,org.apdplat.superword.rule,SimilarityRule,similarity,8,1,2,47,0,org.apdplat.superword.rule.WordVector,org.apdplat.superword.rule.WordVector; org.apdplat.superword.model.Word
superword,org.apdplat.superword.rule,SimilarityRule,main,5,1,1,59,0,org.apdplat.superword.tools.WordSources,org.apdplat.superword.tools.WordSources; org.apdplat.superword.rule.SimilarityRule
superword,org.apdplat.superword.rule,WordLengthStatistics,WordLengthStatistics,2,1,0,35,0,,
superword,org.apdplat.superword.rule,WordLengthStatistics,stat,10,1,1,37,0,org.apdplat.superword.model.Word,org.apdplat.superword.model.Word
superword,org.apdplat.superword.rule,WordLengthStatistics,toHtmlFragment,3,1,2,47,0,,
superword,org.apdplat.superword.rule,WordLengthStatistics,toHtmlFragment,14,3,3,51,0,org.apdplat.superword.tools.WordLinker,org.apdplat.superword.tools.WordLinker; org.apdplat.superword.model.Word
superword,org.apdplat.superword.rule,WordLengthStatistics,main,6,1,1,77,0,org.apdplat.superword.rule.WordLengthStatistics,org.apdplat.superword.rule.WordLengthStatistics; org.apdplat.superword.tools.WordSources
superword,org.apdplat.superword.rule,DefinitionSimilarRule,run,26,5,4,59,0,org.apdplat.superword.tools.WordLinker,org.apdplat.superword.tools.WordLinker; org.apdplat.superword.tools.MySQLUtils
superword,org.apdplat.superword.rule,DynamicSuffixRule,DynamicSuffixRule,2,1,0,45,0,,
superword,org.apdplat.superword.rule,DynamicSuffixRule,findBySuffix,23,5,2,49,0,org.apdplat.superword.model.Suffix,org.apdplat.superword.model.Suffix; org.apdplat.superword.model.Word
superword,org.apdplat.superword.rule,DynamicSuffixRule,toHtmlFragment,3,1,2,81,0,org.apdplat.superword.rule.DynamicSuffixRule,org.apdplat.superword.rule.DynamicSuffixRule
superword,org.apdplat.superword.rule,DynamicSuffixRule,toHtmlFragment,43,6,3,85,0,org.apdplat.superword.tools.WordLinker,org.apdplat.superword.tools.WordLinker; org.apdplat.superword.model.Suffix; org.apdplat.superword.model.Word
superword,org.apdplat.superword.rule,DynamicSuffixRule,main,8,1,1,139,0,org.apdplat.superword.tools.WordSources,org.apdplat.superword.tools.WordSources; org.apdplat.superword.rule.DynamicSuffixRule
superword,org.apdplat.superword.rule,CompoundWord,CompoundWord,2,1,0,35,0,,
superword,org.apdplat.superword.rule,CompoundWord,find,3,1,1,37,0,org.apdplat.superword.rule.CompoundWord,org.apdplat.superword.rule.CompoundWord
superword,org.apdplat.superword.rule,CompoundWord,find,11,2,2,40,0,,
superword,org.apdplat.superword.rule,CompoundWord,find,3,1,2,51,0,,
superword,org.apdplat.superword.rule,CompoundWord,find,8,2,2,55,0,org.apdplat.superword.rule.CompoundWord,org.apdplat.superword.rule.CompoundWord; org.apdplat.superword.model.Word
superword,org.apdplat.superword.rule,CompoundWord,check,12,3,4,65,0,,
superword,org.apdplat.superword.rule,CompoundWord,main,8,1,1,80,0,org.apdplat.superword.rule.CompoundWord,org.apdplat.superword.rule.CompoundWord; org.apdplat.superword.tools.WordSources; org.apdplat.superword.tools.HtmlFormatter
superword,org.apdplat.superword.rule,PartOfSpeech,PartOfSpeech,2,1,0,37,0,,
superword,org.apdplat.superword.rule,PartOfSpeech,getMeaning,3,1,1,64,0,,
superword,org.apdplat.superword.rule,PartOfSpeech,main,3,1,1,68,0,org.apdplat.superword.rule.PartOfSpeech,org.apdplat.superword.rule.PartOfSpeech
superword,org.apdplat.superword.tools,FootNSentence,footN,3,1,2,31,0,org.apdplat.superword.tools.TextAnalyzer,org.apdplat.superword.tools.TextAnalyzer
superword,org.apdplat.superword.tools,FootNSentence,main,5,1,1,34,0,org.apdplat.superword.tools.FootNSentence,org.apdplat.superword.tools.FootNSentence
superword,org.apdplat.superword.tools,PrefixSuffixOptimizer,main,10,1,1,45,0,,
superword,org.apdplat.superword.tools,PrefixSuffixOptimizer,replace,25,5,1,64,0,,
superword,org.apdplat.superword.tools,Definition,getDefinitionString,3,1,3,62,0,org.apdplat.superword.tools.Definition,org.apdplat.superword.tools.Definition
superword,org.apdplat.superword.tools,Definition,concat,13,3,2,66,0,,
superword,org.apdplat.superword.tools,Definition,getDefinition,27,12,2,80,0,org.apdplat.superword.tools.Definition,org.apdplat.superword.tools.Definition
superword,org.apdplat.superword.tools,Definition,getDefinitionForICIBA,3,1,1,97,0,org.apdplat.superword.tools.Definition,org.apdplat.superword.tools.Definition
superword,org.apdplat.superword.tools,Definition,getDefinitionForYOUDAO,3,1,1,100,0,org.apdplat.superword.tools.Definition,org.apdplat.superword.tools.Definition
superword,org.apdplat.superword.tools,Definition,getDefinitionForCOLLINS,3,1,1,103,0,org.apdplat.superword.tools.Definition,org.apdplat.superword.tools.Definition
superword,org.apdplat.superword.tools,Definition,getDefinitionForWEBSTER,3,1,1,106,0,org.apdplat.superword.tools.Definition,org.apdplat.superword.tools.Definition
superword,org.apdplat.superword.tools,Definition,getDefinitionForOXFORD,3,1,1,109,0,org.apdplat.superword.tools.Definition,org.apdplat.superword.tools.Definition
superword,org.apdplat.superword.tools,Definition,getDefinitionForCAMBRIDGE,3,1,1,112,0,org.apdplat.superword.tools.Definition,org.apdplat.superword.tools.Definition
superword,org.apdplat.superword.tools,Definition,getDefinitionForMACMILLAN,3,1,1,115,0,org.apdplat.superword.tools.Definition,org.apdplat.superword.tools.Definition
superword,org.apdplat.superword.tools,Definition,getDefinitionForHERITAGE,3,1,1,118,0,org.apdplat.superword.tools.Definition,org.apdplat.superword.tools.Definition
superword,org.apdplat.superword.tools,Definition,getDefinitionForWIKTIONARY,3,1,1,121,0,org.apdplat.superword.tools.Definition,org.apdplat.superword.tools.Definition
superword,org.apdplat.superword.tools,Definition,getDefinitionForWORDNET,3,1,1,124,0,org.apdplat.superword.tools.Definition,org.apdplat.superword.tools.Definition
superword,org.apdplat.superword.tools,Definition,getDefinitionForRANDOMHOUSE,3,1,1,127,0,org.apdplat.superword.tools.Definition,org.apdplat.superword.tools.Definition
superword,org.apdplat.superword.tools,Definition,parseDefinition,12,3,4,131,0,org.apdplat.superword.tools.MySQLUtils,org.apdplat.superword.tools.MySQLUtils; org.apdplat.superword.tools.Definition
superword,org.apdplat.superword.tools,Definition,parseDefinitionFromHtml,34,9,4,144,0,org.apdplat.superword.tools.Definition,org.apdplat.superword.tools.Definition
superword,org.apdplat.superword.tools,Definition,parseDefinitionForWebster,31,6,2,178,0,,
superword,org.apdplat.superword.tools,Definition,parseDefinitionForOxford,23,4,2,211,0,,
superword,org.apdplat.superword.tools,Definition,getContent,14,3,1,238,0,org.apdplat.superword.tools.Definition,org.apdplat.superword.tools.Definition; org.apdplat.superword.tools.TimeUtils; org.apdplat.superword.tools.ProxyIp
superword,org.apdplat.superword.tools,Definition,_getContent,11,1,2,254,0,org.apdplat.superword.tools.Definition,org.apdplat.superword.tools.Definition
superword,org.apdplat.superword.tools,Definition,_getContent,12,1,1,265,0,,
superword,org.apdplat.superword.tools,Definition,main,3,1,1,286,0,org.apdplat.superword.tools.Definition,org.apdplat.superword.tools.Definition
superword,org.apdplat.superword.tools,WordLinker,WordLinker,2,1,0,45,0,,
superword,org.apdplat.superword.tools,WordLinker,getLink,3,1,2,70,0,org.apdplat.superword.tools.WordLinker,org.apdplat.superword.tools.WordLinker
superword,org.apdplat.superword.tools,WordLinker,getLinkPrefix,27,12,1,74,0,,
superword,org.apdplat.superword.tools,WordLinker,getValidDictionary,8,1,1,91,0,,
superword,org.apdplat.superword.tools,WordLinker,Dictionary,3,1,1,103,0,,
superword,org.apdplat.superword.tools,WordLinker,getDes,3,1,0,106,0,,
superword,org.apdplat.superword.tools,WordLinker,toLink,3,1,1,111,0,org.apdplat.superword.tools.WordLinker,org.apdplat.superword.tools.WordLinker
superword,org.apdplat.superword.tools,WordLinker,toLink,3,1,2,115,0,org.apdplat.superword.tools.WordLinker,org.apdplat.superword.tools.WordLinker
superword,org.apdplat.superword.tools,WordLinker,toLink,3,1,2,119,0,org.apdplat.superword.tools.WordLinker,org.apdplat.superword.tools.WordLinker
superword,org.apdplat.superword.tools,WordLinker,toLink,3,1,3,123,0,org.apdplat.superword.tools.WordLinker,org.apdplat.superword.tools.WordLinker
superword,org.apdplat.superword.tools,WordLinker,toLink,3,1,4,126,0,org.apdplat.superword.tools.WordLinker,org.apdplat.superword.tools.WordLinker
superword,org.apdplat.superword.tools,WordLinker,toLink,30,13,5,129,0,org.apdplat.superword.tools.WordLinker,org.apdplat.superword.tools.WordLinker
superword,org.apdplat.superword.tools,WordLinker,linkToICIBA,3,1,4,150,0,org.apdplat.superword.tools.WordLinker,org.apdplat.superword.tools.WordLinker
superword,org.apdplat.superword.tools,WordLinker,linkToYOUDAO,3,1,4,153,0,org.apdplat.superword.tools.WordLinker,org.apdplat.superword.tools.WordLinker
superword,org.apdplat.superword.tools,WordLinker,linkToCOLLINS,3,1,4,156,0,org.apdplat.superword.tools.WordLinker,org.apdplat.superword.tools.WordLinker
superword,org.apdplat.superword.tools,WordLinker,linkToWEBSTER,3,1,4,159,0,org.apdplat.superword.tools.WordLinker,org.apdplat.superword.tools.WordLinker
superword,org.apdplat.superword.tools,WordLinker,linkToOXFORD,3,1,4,162,0,org.apdplat.superword.tools.WordLinker,org.apdplat.superword.tools.WordLinker
superword,org.apdplat.superword.tools,WordLinker,linkToCAMBRIDGE,3,1,4,165,0,org.apdplat.superword.tools.WordLinker,org.apdplat.superword.tools.WordLinker
superword,org.apdplat.superword.tools,WordLinker,linkToMACMILLAN,3,1,4,168,0,org.apdplat.superword.tools.WordLinker,org.apdplat.superword.tools.WordLinker
superword,org.apdplat.superword.tools,WordLinker,linkToHERITAGE,3,1,4,171,0,org.apdplat.superword.tools.WordLinker,org.apdplat.superword.tools.WordLinker
superword,org.apdplat.superword.tools,WordLinker,linkToWIKTIONARY,3,1,4,174,0,org.apdplat.superword.tools.WordLinker,org.apdplat.superword.tools.WordLinker
superword,org.apdplat.superword.tools,WordLinker,linkToWORDNET,3,1,4,177,0,org.apdplat.superword.tools.WordLinker,org.apdplat.superword.tools.WordLinker
superword,org.apdplat.superword.tools,WordLinker,linkToRANDOMHOUSE,3,1,4,180,0,org.apdplat.superword.tools.WordLinker,org.apdplat.superword.tools.WordLinker
superword,org.apdplat.superword.tools,WordLinker,linkTo,31,7,6,183,0,,
superword,org.apdplat.superword.tools,WordLinker,main,25,1,1,224,0,org.apdplat.superword.tools.WordLinker,org.apdplat.superword.tools.WordLinker
superword,org.apdplat.superword.tools,WordClassifierForWebster,WordClassifierForWebster,2,1,0,48,0,,
superword,org.apdplat.superword.tools,WordClassifierForWebster,download,24,4,1,64,0,org.apdplat.superword.tools.WordClassifierForWebster,org.apdplat.superword.tools.WordClassifierForWebster; org.apdplat.superword.model.Word
superword,org.apdplat.superword.tools,WordClassifierForWebster,parse,11,3,1,90,0,org.apdplat.superword.tools.WordClassifierForWebster,org.apdplat.superword.tools.WordClassifierForWebster
superword,org.apdplat.superword.tools,WordClassifierForWebster,parseDir,15,1,1,100,0,org.apdplat.superword.tools.WordClassifierForWebster,org.apdplat.superword.tools.WordClassifierForWebster
superword,org.apdplat.superword.tools,WordClassifierForWebster,visitFile,4,1,2,105,0,org.apdplat.superword.tools.WordClassifierForWebster,org.apdplat.superword.tools.WordClassifierForWebster
superword,org.apdplat.superword.tools,WordClassifierForWebster,parseZip,21,2,1,117,0,org.apdplat.superword.tools.WordClassifierForWebster,org.apdplat.superword.tools.WordClassifierForWebster
superword,org.apdplat.superword.tools,WordClassifierForWebster,visitFile,7,1,2,124,0,org.apdplat.superword.tools.WordClassifierForWebster,org.apdplat.superword.tools.WordClassifierForWebster
superword,org.apdplat.superword.tools,WordClassifierForWebster,parseFile,12,2,1,141,0,org.apdplat.superword.tools.WordClassifierForWebster,org.apdplat.superword.tools.WordClassifierForWebster
superword,org.apdplat.superword.tools,WordClassifierForWebster,parseHtml,11,2,1,155,0,org.apdplat.superword.tools.WordClassifierForWebster,org.apdplat.superword.tools.WordClassifierForWebster
superword,org.apdplat.superword.tools,WordClassifierForWebster,showStatus,3,1,3,167,0,,
superword,org.apdplat.superword.tools,WordClassifierForWebster,save,22,3,0,171,0,,
superword,org.apdplat.superword.tools,WordClassifierForWebster,getContent,14,1,1,199,0,,
superword,org.apdplat.superword.tools,WordClassifierForWebster,parse,17,4,2,223,0,org.apdplat.superword.tools.MySQLUtils,org.apdplat.superword.tools.MySQLUtils; org.apdplat.superword.tools.Definition
superword,org.apdplat.superword.tools,WordClassifierForWebster,main,3,1,1,241,0,org.apdplat.superword.tools.WordClassifierForWebster,org.apdplat.superword.tools.WordClassifierForWebster
superword,org.apdplat.superword.tools,PdfParser,PdfParser,2,1,0,46,0,,
superword,org.apdplat.superword.tools,PdfParser,parsePdfFileToPlainText,12,1,1,89,0,,
superword,org.apdplat.superword.tools,PdfParser,parseDirectory,3,1,1,105,0,,
superword,org.apdplat.superword.tools,PdfParser,parseDirectory,23,2,1,108,0,,
superword,org.apdplat.superword.tools,PdfParser,visitFile,7,2,2,115,0,,
superword,org.apdplat.superword.tools,PdfParser,parseZip,24,2,1,132,0,org.apdplat.superword.tools.PdfParser,org.apdplat.superword.tools.PdfParser
superword,org.apdplat.superword.tools,PdfParser,visitFile,7,1,2,140,0,org.apdplat.superword.tools.PdfParser,org.apdplat.superword.tools.PdfParser
superword,org.apdplat.superword.tools,PdfParser,parseFile,3,1,1,158,0,,
superword,org.apdplat.superword.tools,PdfParser,parseFile,19,2,1,161,0,org.apdplat.superword.tools.PdfParser,org.apdplat.superword.tools.PdfParser
superword,org.apdplat.superword.tools,PdfParser,paragraphFinish,6,2,1,182,0,,
superword,org.apdplat.superword.tools,PdfParser,toSentence,41,8,1,189,0,org.apdplat.superword.tools.PdfParser,org.apdplat.superword.tools.PdfParser
superword,org.apdplat.superword.tools,PdfParser,addLineToParagraph,12,4,4,249,0,,
superword,org.apdplat.superword.tools,PdfParser,isProgramCode,6,2,1,268,0,,
superword,org.apdplat.superword.tools,PdfParser,process,11,4,2,285,0,org.apdplat.superword.tools.PdfParser,org.apdplat.superword.tools.PdfParser
superword,org.apdplat.superword.tools,PdfParser,paragraphValid,23,6,1,299,0,org.apdplat.superword.tools.PdfParser,org.apdplat.superword.tools.PdfParser
superword,org.apdplat.superword.tools,PdfParser,segSentence,29,7,1,458,0,org.apdplat.superword.tools.PdfParser,org.apdplat.superword.tools.PdfParser
superword,org.apdplat.superword.tools,PdfParser,processSentence,144,36,1,497,0,org.apdplat.superword.tools.TextAnalyzer,org.apdplat.superword.tools.TextAnalyzer
superword,org.apdplat.superword.tools,PdfParser,prepareSeg,39,9,1,640,0,,
superword,org.apdplat.superword.tools,PdfParser,invalid,11,3,1,684,0,,
superword,org.apdplat.superword.tools,PdfParser,prepareTarget,16,2,1,701,0,,
superword,org.apdplat.superword.tools,PdfParser,resetSentenceWordLengthInfo,3,1,0,725,0,,
superword,org.apdplat.superword.tools,PdfParser,showSentenceWordLengthInfo,9,1,0,728,0,,
superword,org.apdplat.superword.tools,PdfParser,main,5,1,1,740,0,org.apdplat.superword.tools.PdfParser,org.apdplat.superword.tools.PdfParser
superword,org.apdplat.superword.tools,WordClassifierForOxford,WordClassifierForOxford,2,1,0,48,0,,
superword,org.apdplat.superword.tools,WordClassifierForOxford,download,24,4,1,64,0,org.apdplat.superword.tools.WordClassifierForOxford,org.apdplat.superword.tools.WordClassifierForOxford; org.apdplat.superword.model.Word
superword,org.apdplat.superword.tools,WordClassifierForOxford,parse,11,3,1,91,0,org.apdplat.superword.tools.WordClassifierForOxford,org.apdplat.superword.tools.WordClassifierForOxford
superword,org.apdplat.superword.tools,WordClassifierForOxford,parseDir,15,1,1,101,0,org.apdplat.superword.tools.WordClassifierForOxford,org.apdplat.superword.tools.WordClassifierForOxford
superword,org.apdplat.superword.tools,WordClassifierForOxford,visitFile,4,1,2,106,0,org.apdplat.superword.tools.WordClassifierForOxford,org.apdplat.superword.tools.WordClassifierForOxford
superword,org.apdplat.superword.tools,WordClassifierForOxford,parseZip,21,2,1,118,0,org.apdplat.superword.tools.WordClassifierForOxford,org.apdplat.superword.tools.WordClassifierForOxford
superword,org.apdplat.superword.tools,WordClassifierForOxford,visitFile,7,1,2,125,0,org.apdplat.superword.tools.WordClassifierForOxford,org.apdplat.superword.tools.WordClassifierForOxford
superword,org.apdplat.superword.tools,WordClassifierForOxford,parseFile,12,2,1,142,0,org.apdplat.superword.tools.WordClassifierForOxford,org.apdplat.superword.tools.WordClassifierForOxford
superword,org.apdplat.superword.tools,WordClassifierForOxford,parseHtml,11,2,1,156,0,org.apdplat.superword.tools.WordClassifierForOxford,org.apdplat.superword.tools.WordClassifierForOxford
superword,org.apdplat.superword.tools,WordClassifierForOxford,showStatus,3,1,3,168,0,,
superword,org.apdplat.superword.tools,WordClassifierForOxford,save,22,3,0,172,0,,
superword,org.apdplat.superword.tools,WordClassifierForOxford,getContent,14,1,1,200,0,,
superword,org.apdplat.superword.tools,WordClassifierForOxford,parse,15,3,2,224,0,org.apdplat.superword.tools.MySQLUtils,org.apdplat.superword.tools.MySQLUtils; org.apdplat.superword.tools.Definition
superword,org.apdplat.superword.tools,WordClassifierForOxford,main,3,1,1,239,0,org.apdplat.superword.tools.WordClassifierForOxford,org.apdplat.superword.tools.WordClassifierForOxford
superword,org.apdplat.superword.tools,IrregularVerbs,getBaseForm,10,3,1,41,0,,
superword,org.apdplat.superword.tools,TopNSentence,topN,3,1,2,31,0,org.apdplat.superword.tools.TextAnalyzer,org.apdplat.superword.tools.TextAnalyzer
superword,org.apdplat.superword.tools,TopNSentence,main,5,1,1,34,0,org.apdplat.superword.tools.TopNSentence,org.apdplat.superword.tools.TopNSentence
superword,org.apdplat.superword.tools,Pronunciation,getPronunciationString,3,1,3,61,0,org.apdplat.superword.tools.Pronunciation,org.apdplat.superword.tools.Pronunciation
superword,org.apdplat.superword.tools,Pronunciation,concat,13,3,2,65,0,,
superword,org.apdplat.superword.tools,Pronunciation,getPronunciation,27,12,2,79,0,org.apdplat.superword.tools.Pronunciation,org.apdplat.superword.tools.Pronunciation
superword,org.apdplat.superword.tools,Pronunciation,getPronunciationForICIBA,3,1,1,96,0,org.apdplat.superword.tools.Pronunciation,org.apdplat.superword.tools.Pronunciation
superword,org.apdplat.superword.tools,Pronunciation,getPronunciationForYOUDAO,3,1,1,99,0,org.apdplat.superword.tools.Pronunciation,org.apdplat.superword.tools.Pronunciation
superword,org.apdplat.superword.tools,Pronunciation,getPronunciationForCOLLINS,3,1,1,102,0,org.apdplat.superword.tools.Pronunciation,org.apdplat.superword.tools.Pronunciation
